######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,ブレイス・ストーン
leaderboard.daily_challenge,デイリーチャレンジ<br>ランキング
leaderboard.daily_challenge.time_out,タイムアウト！
leaderboard.daily_challenge.lap_attempts,ラップ挑戦回数
leaderboard.daily_challenge.ends_in,終了まで
leaderboard.daily_challenge.grace_period,猶予期間
leaderboard.daily_challenge.ended_minutes_ago, {0:0}分前に終了
leaderboard.daily_challenge.ended_hours_ago, {0:0}時間前に終了
leaderboard.daily_challenge.ended_days_ago, {0:0}日前に終了
leaderboard.day,日
leaderboard.btn.race_now,レース開始
leaderboard.btn.race_now.tip,選択したコースとマシンで周回タイムを競おう
leaderboard.no_score.race_now,スコアをまだ記録していません。今すぐレースで記録を残そう！
leaderboard.no_steam_connection,team に接続できません<br><br>ランキングが利用できません
leaderboard.btn.time_attack,タイムアタック
leaderboard.time_attack.tip,コースごとの周回タイムのランキングです。「カスタムレース」で「タイムアタック」モードを使うと自分の記録を登録できます。
leaderboard.refresh.tip,スコアをSteamから直接リロードします

# Leaderboard Names

leaderboard.max_season,最高シーズン
leaderboard.max_racer_level,最高レーサーレベル
leaderboard.people_hit,轢いた人数
leaderboard.km_driven,走行距離(KM)
leaderboard.cash_earned,累計入手Cash
leaderboard.xp_gained,累計取得XP
leaderboard.podium_finishes,入賞回数
leaderboard.podium_gold,ゴールド回数
leaderboard.seasons_won,シーズン勝利数
leaderboard.cars_fragged,マシン破壊数
leaderboard.tracks_created,コース作成数
leaderboard.longest_jump,最長ジャンプ距離
leaderboard.meters_jumped,累計ジャンプ距離
leaderboard.seconds_drifted,累計ドリフト秒数

# Settings 

# DO NOT TRANSLATE THIS ONE! JUST COPY IT BUT KEEP ENGLISH!
settings.btn.language,Language

settings.btn.video,グラフィック
settings.btn.visuals,表示
settings.btn.gameplay,ゲーム内容
settings.btn.audio,音声
settings.btn.input,操作
settings.btn.reset,リセット

# Settings -> Video

settings.video.quality_warning,画質設定がハードウェアに最適でない可能性があります！
settings.video.resolution_warning,解像度設定がハードウェアに最適でない可能性があります！
settings.video.vsync_tip,フレームがカクつく場合、VSyncを無効にしてFPS上限を高くすると改善することがあります
settings.video.quality,画質設定
settings.video.quality.performance,パフォーマンス重視
settings.video.quality.quality,画質優先
settings.video.resolution,解像度
settings.video.window_mode,画面表示
settings.video.window_mode.full_screen_exclusive,フルスクリーン（排他）
settings.video.window_mode.full_screen_window,フルスクリーン（ウィンドウ）
settings.video.window_mode.windowed,ウィンドウモード
# Don't translate this one, just copy
settings.video.vsync,VSync
settings.video.vsync.off,オフ
settings.video.vsync.on,オン（毎フレーム）
settings.video.vsync.on_every_2,オン（2フレームごと）
settings.video.fps_limit,FPS制限
settings.video.particle_density,パーティクル密度
settings.video.particle_density_tip,ドリフトの煙、路面のほこり、雪けむりの濃さに影響します
settings.video.btn.set_optimal,最適設定
settings.video.btn.set_optimal_tip,ハードウェア推奨の解像度と画質レベルに設定します

# Settings -> Visuals

settings.visuals.ui_scale,UI拡大率
settings.visuals.ui_scale_tip,UIのサイズを調整します
settings.visuals.speed_units,速度の単位表記
settings.visuals.show_blood,血しぶき
settings.visuals.show_racer_names,レーサー名
settings.visuals.show_tire_trails,タイヤ跡
settings.visuals.show_brake_lights,ブレーキランプ
settings.visuals.show_clouds,雲
settings.visuals.show_weather_effects,天候エフェクト
settings.visuals.show_car_smoke,マシンの排気煙
settings.visuals.show_controls,操作表示
settings.visuals.show_in_race_rankings,レース中の順位
settings.visuals.dynamic_backgrounds,背景の動的生成
settings.visuals.dynamic_backgrounds.tip,キャンペーンおよびカスタムレースで有効です。
settings.visuals.reduce_particles,パーティクル抑制による視認性向上
settings.visuals.post_processing,ポストプロセッシング
settings.visuals.minimap_size,ミニマップサイズ
settings.visuals.minimap_size.off,非表示
settings.visuals.minimap_size.regular,標準
settings.visuals.minimap_size.large,大
settings.visuals.minimap_size.enormous,特大
settings.visuals.minimap_pos,ミニマップ位置
settings.visuals.minimap_pos.top_left,左上
settings.visuals.minimap_pos.bottom_right,右下
settings.visuals.minimap_pos.top,上
settings.visuals.minimap_pos.right,右

# Settings -> Gameplay

settings.gameplay.show_tips,ヒントを表示
# FOR TRANSLATORS: Please translate as "Show Cutscenes (English Only)"
settings.gameplay.show_cutscenes,カットシーンを表示
settings.gameplay.show_speech_bubbles,吹き出しを表示
settings.gameplay.enable_censorship,罵詈雑言を非表示
settings.gameplay.peds_take_screenshots,歩行者によるスクリーンショット撮影
settings.gameplay.post_to_discord,Discordに投稿
settings.gameplay.camera_type,カメラ
settings.gameplay.camera_type.fixed_road,コース位置に固定
settings.gameplay.camera_type.fixed_car,マシンに固定
settings.gameplay.camera_type.fixed_person,人の向きに固定
settings.gameplay.camera_type.floating,自動
settings.gameplay.camera_zoom,カメラのズーム
settings.gameplay.camera_zoom.near,近距離
settings.gameplay.camera_zoom.medium,中距離
settings.gameplay.camera_zoom.far,遠距離
settings.gameplay.speed_autozoom,速度で自動ズーム
settings.gameplay.speed_autozoom_tip,マシンのスピードに応じてカメラの視野を自動調整します
settings.gameplay.camera_shake,カメラの振動
settings.gameplay.camera_shake.full,最大
settings.gameplay.camera_shake.light,軽度
settings.gameplay.camera_shake.off,無効
settings.gameplay.vibration,コントローラ振動
settings.gameplay.run_in_background,バックグラウンド動作
settings.gameplay.auto_lock_mouse,マウス自動ロック
settings.gameplay.auto_lock_mouse_tip,マルチモニタで作業している場合はマウスロックを無効にするとプレイしやすくなります。この設定を反映するにはゲームの再起動が必要です。

# Settings -> Audio

settings.audio.master_volume,マスターボリューム
settings.audio.menu_sounds,メニュー効果音
settings.audio.menu_music,メニューBGM
settings.audio.editor_music,編集画面BGM
settings.audio.race_music,レースBGM
settings.audio.car_engine,エンジン音
settings.audio.tire_skid,タイヤのこすれる音
settings.audio.crowd_noise,観客の声
settings.audio.sound_fx,効果音
settings.audio.btn.reset_to_defaults,デフォルトに戻す

# Settings -> Reset

settings.reset.btn.full_reset,すべて初期化
settings.reset.btn.reset_tips,ヒントを初期化

# FOR TRASLATORS: Be very careful to not change text inside brackets (<br>, <size=50%> and such). It is one long line
settings.reset.about,すべて初期化を行うと：<indent=10%><size=70%> - キャンペーンのセーブデータがすべて削除されます - すべてのマシンが未解放に戻ります - ゲームが終了します <indent=0%><size=100%>削除されないもの： <indent=10%><size=70%> - 実績 - ランキングの記録 - カスタムマシンとコース

# Main Menu button tooltips

main_menu.btn.tooltip.homepage,Kodo Linijaホームページ
main_menu.btn.tooltip.newsletter,開発者ニュースレター
main_menu.btn.tooltip.dev_msg,開発者からのお知らせ
main_menu.btn.tooltip.campaign,ランダム生成されたコースで遊ぶキャンペーン。プレイして新しいマシンをアンロックしよう！
main_menu.btn.tooltip.race,クイックレース、カーバトル、またはタイムアタックで他のプレイヤーのラップタイムに挑戦
main_menu.btn.tooltip.editors,他のプレイヤーが作成したコースやマシンをダウンロード、または自分で作って共有
main_menu.btn.tooltip.daily_challenge,デイリーチャレンジで他プレイヤーとラップタイムを競おう
main_menu.btn.tooltip.leaderboards,トップ100入りの栄光が待っている
main_menu.btn.tooltip.achievements,すべてを手に入れろ！
main_menu.btn.tooltip.quit.0,やめろおお！ 押さないでくれ！ 最後の項目にはワケがあるんだ！
main_menu.btn.tooltip.quit.1,頼む！ 待て！ 話せばわかる！
main_menu.btn.tooltip.quit.2,もう1レースだけどう？
main_menu.btn.tooltip.quit.3,マジで？ 他のことは後まわしでも...
main_menu.btn.tooltip.quit.4,押すたびに妖精さんがマシンの配線を1本ずつ切ります。脅しじゃないぞ！
main_menu.btn.tooltip.quit.5,これを押したことをSOFACTは許そう。だが、やったことを忘れてくれるかな？
main_menu.btn.tooltip.quit.6,押すと5秒後にコンピューターが自爆します。
main_menu.btn.tooltip.quit.7,どうしてこのボタンなんだ？ 他にもたくさん押せるボタンがあるだろ！
main_menu.btn.tooltip.quit.8,君の猫を人質にしているぞ。このボタンを押せば、ヤツにラザニアを食べさせる！
main_menu.btn.tooltip.quit.9,本気か？ アンタの人生がかかっているんだぞ！

# About

about.btn.credits,クレジット
about.btn.how_to_play,遊び方
about.btn.newsletter,ニュースレター
about.btn.version,バージョン
about.btn.privacy,プライバシーポリシー

# Version Check

version.updates_available,アップデート可能
version.loading_now,更新履歴をサーバーから読み込み中。URL:<br>{0}
version.up_to_date,アップデート日
version.latest,最新バージョン: {0}
version.current,現在のバージョン: {0}
version.check_failed,アップデートのチェックに失敗
version.check_failed_details,バージョン情報または更新履歴を取得できませんでした。<br><br>ネットワーク未接続か、ファイアウォールで遮断されているか、またはサーバーが停止中の可能性があります。<br><br>URL:<br>{0}<br><br>エラー詳細:<br>{1}
version.changelog_download_fail,新しいバージョンがあります。<br><br>しかし、更新履歴の取得は失敗しました。<br><br>URL:<br>{0}<br><br>エラー詳細:<br>{1}
version.no_changes,変更箇所がないか更新履歴がありません:
version.new_changes,変更箇所: {0}

################################################################################

# Campaign
campaign.play_time,プレイ時間: {0}

# Add Racer Menu

new_racer.title,新たなレーサーを登録
new_racer.edit_title,レーサー設定
new_racer.racer_name,レーサー名
new_racer.your_name,あなたの名前
new_racer.voice_pitch,声の高さ
new_racer.controlled_by,操作者
new_racer.ai_skill,AIの強さ
new_racer.choose_avatar,アバター選択
new_racer.voice.low,低音域 {0:0}%
new_racer.voice.high,高音域 {0:0}%
new_racer.voice.mid,中程度
new_racer.register,登録
new_racer.dialogue.name_required,名前は必須です！
new_racer.dialogue.name_taken,{0}という名前は既に他のレーサーで使われています！
new_racer.dialogue.confirm_remove,本当に{0}を除名しますか？

# Select Avatar Menu

select_avatar.title,アバター選択

# Racer List Menu

season_lineup.title,シーズン一覧
season_lineup.begin_season,シーズン開始

# Generation Notice

gen.generating,お待ちください...<br>生成中
gen.loading,お待ちください...<br>読み込み中

# Campaign Dashboard

dash.garage,ガレージ
dash.no_car_warning,マシンを所有していません！
dash.btn.buy_car,マシン購入
dash.end_campaign,キャンペーン終了
dash.end_season,シーズン終了
dash.end_season.tip,次のシーズンへ進みます
dash.advance_week,進む
dash.advance_week.tip,次の週へ進みます
dash.view_season,シーズンを確認
dash.view_season.tip,シーズンと週ごとの結果表示を切り替えます
dash.press_x_to_select,{0}を押して選択
dash.flip_track_card.tip,カードを裏返す
dash.btn.walk_on_foot,徒歩
dash.btn.walk_on_foot.tip,歩行者としてレースに参加（危険！）
dash.btn.save_track.tip,カスタムレースかエディタで編集するためコースを保存します。
dash.btn.regenerate.tip,現在のコースが気に入らなければ、コースを再生成します。
# Verb
dash.btn.do_race,レース
dash.btn.do_retry,再挑戦
dash.give_5k,$5000を渡す

# Keep short - abbreviate if necessary
dash.stage01,ステージ01
dash.stage02,ステージ02
dash.stage03,ステージ03
dash.stage04,ステージ04
dash.stage05,ステージ05

# Keep short - abbreviate if necessary
dash.week1,1週間目
dash.week2,2週間目
dash.week3,3週間目
dash.week4,4週間目
dash.week5,5週間目
dash.week6,6週間目
dash.week7,7週間目

dash.stage_rewards,ステージ報酬
dash.season_rewards,シーズン報酬
dash.next_season,次のシーズン
dash.game_over,ゲームオーバー
dash.buy_freedom,自由の身になる<br><size=75%>${0}</size>
dash.players,プレイヤー
# It will be in a button, so could be just "All"
dash.all_racers,全レーサー

dash.maxed_out,最大強化済
dash.req_lvl_short,Req lvl: {0}

dash.tip.add_1_lap,1ラップを追加
dash.tip.add_5_laps,5ラップを追加
dash.tip.reduce_1_lap,1ラップを減少
dash.tip.reduce_5_laps,5ラップを減少

dash.tip.workshop_item,ワークショップの作品
dash.tip.rand_time_attack,ランダムタイムアタックセッション
dash.tip.rand_race,生成されたランダムなコースでクイックレース
dash.tip.rand_battle,生成されたランダムなコースでAIとバトル
dash.tip.mark_tips_unseen,すべてのヒントを未確認にする
dash.tip.campaign_name_entry,キーボードで入力するか、上部のランダム生成ボタンを使用してください
dash.tip.cloud_shadows_visible,雲の影はこのまま表示されます
dash.tip.not_affect_split_minimap,この設定は画面分割時のミニマップには影響しません
dash.tip.censorship,不快な表現らしき単語を #%$! に置き換えます
dash.tip.discord_post,ランキングのスコアやアップロードしたMODをBRS公式Discordに投稿します
dash.tip.upgrade_available,アップグレード可能！
dash.tip.voice_pitch_slider,カットシーンにおけるセリフの声の高低を調整します
dash.tip.file_on_computer,パソコン上のファイルを選択してください
dash.tip.player_num,プレイヤー{0}
dash.tip.ai_skill,AIの強さ:{0:0}%
dash.tip.car_sprites_white,スプライト編集をする際は車体を白のままにしてください。塗装は車種に依存しません。
dash.tip.upload_car,Steam ワークショップにアップロードします。アップロード前にパラメータで最高速度を正しく設定してください！
dash.tip.reload_car,この項目は、ゲーム外でマシンのスプライトを変更した後で使用してください
dash.tip.speed_index,相対的なマシンの速さの指標です。
dash.tip.leaderboard_eligible,このコースはランキング対象です
dash.tip.ghost_replay_available,ゴーストリプレイが利用可能です
dash.tip.add_racer_btn,新しいレーサー（プレイヤーまたはAI）を追加します
dash.tip.show_track_leaderboards,コースのランキングを表示します
dash.tip.new_race_session,新しいレースを開始します
dash.tip.race_weapons,コース上に武器ゾーンを配置します
dash.tip.0_racers,プレイヤー以外のレーサーをすべて取り除きます
dash.tip.add_1_rnd_racer,ランダムなレーサーを1人追加します
dash.tip.add_10_rnd_racers,ランダムなレーサーを10人追加します
dash.tip.rnd_gen_btn,レース用にランダムなコースを生成します

# Custom Race Dash

dash.set_for_everyone,全員に適用
dash.car,マシン
dash.racers,レーサー
dash.search_for_track,コースを検索
dash.randomize_prompt,「生成」をクリックして<br>コースをランダム生成
dash.race_options,レース設定
dash.race_mode,レースモード
dash.demo_mode,デモモード
dash.demo_mode.tip,プレイヤーの代わりにAIが運転します
dash.opponent_skill,対戦相手のスキル
dash.start_race,レース開始
dash.race_in_x,{0}でレース開始
dash.battle_in_x,{0}でバトル開始
dash.time_attack_in_x,{0}でタイムアタック開始
dash.x_to_select,{0}で選択
dash.add_player,プレイヤー追加
dash.tracks_full_screen.tip,フルスクリーン表示切替

# Rewards

rew.car_unlock,マシンをアンロック: {0}
rew.total_pts,合計ポイント
rew.dmg_taken,ダメージを受ける
rew.dmg_given,ダメージを与える
rew.unused_nitro,ニトロ残量
rew.corner_cut,カーブをショートカット
rew.good_photos,優れた写真の数
rew.close_calls,ギリギリまで接近
rew.survival_bonus,生存ボーナス
rew.place,{0}位
rew.dnf,リタイア
rew.pts,{0}ポイント
rew.ch.unknown,不明なチャレンジ
rew.ch.success,達成: {0}
rew.ch.fail,失敗: {0}
rew.lethal,累計人身事故数
rew.most_lethal,最大人身事故数
rew.frags,マシン破壊
rew.jumps,累計ジャンプ距離
rew.longest_jump,最長ジャンプ距離
rew.drifts,ドリフト時間
# Personal
rew.longest_drift,最長ドリフト時間
rew.most_drifts,累計ドリフト回数
# Among everyone
rew.most_longest_drift,ドリフト時間トップ
rew.level_up,レベルアップ
rew.aero_up,Aero 空力特性アップグレード解放
rew.engine_up,エンジンアップグレード解放
rew.turbo_up,ターボアップグレード解放
rew.gears_up,トランスミッションアップグレード解放
rew.grip_up,グリップアップグレード解放
rew.level_x,レベル{0}
rew.paint_jobs,新しい塗装タイプ解放

# Car Stats

# Keep these very short! Max 10 characters!
car.stat.speed_idx,性能指数
car.stat.top_speed,最高速度
car.stat.power,パワー
car.stat.mass,重量
car.stat.health,耐久
car.stat.steering,ステアリング
car.stat.grip,グリップ
car.stat.shift_time,シフト切替

# Car Upgrades

# Short version
car.upgrade.engine,エンジン
car.upgrade.turbo,ターボ
car.upgrade.gears,ギア
car.upgrade.aero,空力性能
car.upgrade.grip,タイヤ

car.upgrade.engine.title,エンジン強化
car.upgrade.turbo.title,ターボチャージャー強化
car.upgrade.gears.title,トランスミッション強化
car.upgrade.aero.title,空力特性改良
car.upgrade.grip.title,グリップ＆操縦性改良

car.upgrade.engine.tip,エンジン出力を増強
car.upgrade.turbo.tip,スピードブーストの効果が上昇
car.upgrade.gears.tip,ギアチェンジ時間を短縮
car.upgrade.aero.tip,最高速とグリップを向上
car.upgrade.grip.tip,グリップと操縦性を向上

# Racer Profile

racer.last_races,前回のレース
racer.no_data,データなし
racer.level,レーサーレベル
racer.races_attempted,レース参加回数
racer.races_won,レース勝利回数
racer.peds_hit,轢いた歩行者数
racer.times_drifted,ドリフトした時間

racer.title.rookie,ルーキー
racer.title.semi_pro,セミプロ
racer.title.pro,プロ
racer.title.veteran,ベテラン
racer.title.master,マスター
racer.title.grand_master,グランドマスター
racer.title.legend,レジェンド
racer.title.epic,エピック

# Car Paint

paint.main_color,メインカラー
paint.layer1,レイヤ1
paint.layer2,レイヤ2
paint.select_pattern,塗装パターン選択
paint.change_color,カラー変更
paint.rotate_left,左回転
paint.rotate_right,右回転
paint.zoom_out,縮小
paint.zoom_in,拡大
paint.reduce_opacity,透明度減少
paint.increase_opacity,透明度増加
paint.move,移動
paint.remove_paint_layer,レイヤ削除
paint.open_custom_folder,カスタム画像の設置フォルダを開く

# Pedestrian Mode

ped.close_calls,事故寸前
ped.photos,写真撮影
ped.good_photos,すばらしい写真
ped.earned_cash,獲得Cash

# Race mode

race.paused.by,{0}がゲームを一時停止
race.you_have_a_challenge,チャレンジ実施中！
race.btn.exit,レース終了
race.btn.exit_desktop,デスクトップに戻る
race.btn.restart,リスタート
race.btn.photo_mode,撮影モード
race.btn.speed_up,加速
race.btn.end,レース終了
race.finished,レース終了
race.waiting,待機中({0:0}s)

# Battle mode

battle.finished,バトル終了

# Input Actions

act.UIHorizontal,横方向操作
act.UIVertical,縦方向操作
act.UISubmit,決定
act.UICancel,キャンセル
act.ShowTutorial,ヒント表示
act.UICycleNext,次に切り替え
act.UICyclePrev,前に切り替え
act.UIPlayerNext,次のプレイヤー
act.UIPlayerPrev,前のプレイヤー

act.Steer,ステアリング
act.Accelerate,アクセル
act.Brake,ブレーキ
act.Pause,ゲーム一時停止
act.Camera,カメラ切り替え
act.Handbrake,サイドブレーキ
act.ResetCar,マシンの位置をリセット
act.Zoom,カメラのズーム切り替え
act.Nitro,ニトロ
act.Fire,武器を発射
act.DropWeapon,武器を投棄

act.EditorZoom,拡大
act.RotateObject,回転
act.HorizontalPan,水平移動
act.VerticalPan,垂直移動
act.PlaceObject,設置
act.CancelAction,キャンセル
act.Undo,元に戻す
act.Redo,やり直し
act.CopyModifier,設定コピー
act.DeleteModifier,設定削除

act.Walk,歩く
act.Turn,方向転換
act.Take Photo,写真を撮影
act.Wave,手を振る
act.FastForward,ダッシュ
act.PedZoom,拡大
act.PedPause,一時停止

act.MoveHorizontal,水平移動
act.MoveVertical,垂直移動
act.PhotoZoom,拡大
act.Rotate,回転
act.PhotoModePhoto,写真を撮影
act.ToggleTime,時間切り替え
act.ControlTimeScale,ゲーム進行速度
act.ToggleUI,UI切り替え
act.ExitPhotoMode,撮影モード終了
act.AdjustMotionSpeed,動作速度

# Track editor

tr.file,ファイル
tr.file.new,新規作成
tr.file.new.tip,新たにコースの作成を開始します
tr.file.open,開く
tr.file.open.tip,保存済みのコースを開きます
tr.file.save,保存
tr.file.save.tip,現在のコースを保存します
tr.file.undo,元に戻す
tr.file.redo,やり直し
tr.file.share,公開
tr.file.share.tip,現在のコースをSteamワークショップに公開します
tr.file.delete,削除
tr.file.delete.tip,セーブされたコースを削除（削除対象を選択できます）
tr.file.exit,終了
tr.file.exit.tip,メインメニューに戻ります

tr.grid,グリッド
tr.grid.toggle,切替
tr.grid.toggle.tip,グリッドの表示と非表示を切り替えます
tr.grid.light,明るくする
tr.grid.light.tip,グリッドを明るくします（暗いコースで便利です）
tr.grid.dark,暗くする
tr.grid.dark.tip,グリッドを暗くします（明るいコースで便利です）

tr.gen,自動生成
tr.gen.full_circuit,完成済サーキット
